"yearid","teamid","spending","wins","cash_per_win","spending_diff","win_diff"
2000,"ANA",51464167,2460,20920.39,NULL,NULL
2001,"ANA",47535167,2250,21126.74,-3929000.0,-210.0
2002,"ANA",61721667,2772,22266.11,14186500,522
2003,"ANA",79031667,2079,38014.27,17310000,-693.0
2004,"ANA",100534667,2484,40472.89,21503000,405
2000,"ARI",81027833,2380,34045.31,NULL,NULL
2001,"ARI",85082999,2576,33029.11,4055166,196
2002,"ARI",102819999,3234,31793.44,17737000,658
2003,"ARI",80657000,2100,38408.1,-22162999.0,-1134.0
2004,"ARI",69780750,1479,47181.03,-10876250.0,-621.0
2005,"ARI",62329166,2079,29980.36,-7451584.0,600
2006,"ARI",59684226,1976,30204.57,-2644940.0,-103.0
2007,"ARI",52067546,2520,20661.72,-7616680.0,544
2008,"ARI",66202712,2296,28833.93,14135166,-224.0
2009,"ARI",73115666,1820,40173.44,6912954,-476.0
2010,"ARI",60718166,1690,35927.91,-12397500.0,-130.0
2011,"ARI",53639833,2538,21134.69,-7078333.0,848
2012,"ARI",73804833,2187,33747.07,20165000,-351.0
2013,"ARI",90132000,2430,37091.36,16327167,243
2014,"ARI",97861500,1664,58811.0,7729500,-766.0
2015,"ARI",61834000,2291,26989.96,-36027500.0,627
2016,"ARI",87439063,1794,48739.72,25605063,-497.0
2000,"ATL",84537836,2850,29662.4,NULL,NULL
2001,"ATL",91936166,2728,33700.94,7398330,-122.0
2002,"ATL",92870367,2828,32839.59,934201,100
2003,"ATL",106243667,2727,38959.91,13373300,-101.0
2004,"ATL",90182500,2688,33550.04,-16061167.0,-39.0
2005,"ATL",86457302,2250,38425.47,-3725198.0,-438.0
2006,"ATL",90156876,2291,39352.63,3699574,41
2007,"ATL",87290833,2352,37113.45,-2866043.0,61
2008,"ATL",102365683,2160,47391.52,15074850,-192.0
2009,"ATL",96726166,2494,38783.55,-5639517.0,334
2010,"ATL",84423666,2457,34360.47,-12302500.0,-37.0
2011,"ATL",87002692,2314,37598.4,2579026,-143.0
2012,"ATL",82829942,2726,30385.16,-4172750.0,412
2013,"ATL",87871525,2592,33901.05,5041583,-134.0
2014,"ATL",97609000,1896,51481.54,9737475,-696.0
2015,"ATL",71781250,1608,44640.08,-25827750.0,-288.0
2016,"ATL",68498291,1972,34735.44,-3282959.0,364
2000,"BAL",81447435,2146,37953.14,NULL,NULL
2001,"BAL",67599540,1827,37000.3,-13847895.0,-319.0
2002,"BAL",60493487,2144,28215.25,-7106053.0,317
2003,"BAL",73877500,2059,35880.28,13384013,-85.0
2004,"BAL",51623333,2184,23637.06,-22254167.0,125
2005,"BAL",73914333,2072,35672.94,22291000,-112.0
2006,"BAL",72585582,1960,37033.46,-1328751.0,-112.0
2007,"BAL",93174808,1863,50013.32,20589226,-97.0
2008,"BAL",67196246,2176,30880.63,-25978562.0,313
2009,"BAL",67101666,1664,40325.52,-94580.0,-512.0
2010,"BAL",81612500,1716,47559.73,14510834,52
2011,"BAL",85304038,1794,47549.63,3691538,78
2012,"BAL",77353999,2604,29705.84,-7950039.0,810
2013,"BAL",84393333,2210,38187.03,7039334,-394.0
2014,"BAL",103416000,2688,38473.21,19022667,478
2015,"BAL",115044833,2268,50725.24,11628833,-420.0
2016,"BAL",161863456,2581,62713.47,46818623,313
2000,"BOS",77940333,2550,30564.84,NULL,NULL
2001,"BOS",110035833,2624,41934.39,32095500,74
2002,"BOS",108366060,2790,38840.88,-1669773.0,166
2003,"BOS",99946500,2565,38965.5,-8419560.0,-225.0
2004,"BOS",127298500,2940,43298.81,27352000,375
2005,"BOS",123505125,2660,46430.5,-3793375.0,-280.0
2006,"BOS",120099824,2322,51722.58,-3405301.0,-338.0
2007,"BOS",143026214,2688,53209.16,22926390,366
2008,"BOS",133390035,2660,50146.63,-9636179.0,-28.0
2009,"BOS",121345999,2755,44045.73,-12044036.0,95
2010,"BOS",162447333,2581,62939.69,41101334,-174.0
2011,"BOS",161762475,2430,66568.92,-684858.0,-151.0
2012,"BOS",173186617,2346,73822.09,11424142,-84.0
2013,"BOS",151530000,2813,53867.76,-21656617.0,467
2014,"BOS",139019929,2201,63162.17,-12510071.0,-612.0
2015,"BOS",181103400,2496,72557.45,42083471,295
